時間,設備,值
2024-10-26 09:48:46,SA-54/LED_LEVEL,5
2024-10-26 09:48:48,SA-54/TEMPERATURE,31.26
2024-10-26 09:48:48,SA-54/LIGHT_LEVEL,0
2024-10-26 09:48:52,SA-54/LIGHT_LEVEL,1
2024-10-26 09:48:53,SA-54/LED_LEVEL,4
2024-10-26 09:48:53,SA-54/LED_LEVEL,3
2024-10-26 09:48:54,SA-54/TEMPERATURE,30.79
2024-10-26 09:48:54,SA-54/LED_LEVEL,2
2024-10-26 09:48:55,SA-54/LED_LEVEL,1
2024-10-26 09:48:57,SA-54/LED_LEVEL,2
2024-10-26 09:48:57,SA-54/LED_LEVEL,4
2024-10-26 09:48:57,SA-54/LED_LEVEL,5
2024-10-26 09:49:00,SA-54/TEMPERATURE,31.26
2024-10-26 09:49:00,SA-54/LIGHT_LEVEL,0
2024-10-26 09:49:06,SA-54/TEMPERATURE,30.79
2024-10-26 09:49:08,SA-54/TEMPERATURE,31.26
2024-10-26 09:49:18,SA-54/TEMPERATURE,30.79
2024-10-26 09:49:20,SA-54/TEMPERATURE,31.26
2024-10-26 09:49:20,SA-54/LIGHT_LEVEL,1
2024-10-26 09:49:30,SA-54/TEMPERATURE,30.79
2024-10-26 09:49:32,SA-54/TEMPERATURE,31.26
2024-10-26 09:49:36,SA-54/LIGHT_LEVEL,0
2024-10-26 09:49:38,SA-54/TEMPERATURE,30.79
2024-10-26 09:49:42,SA-54/TEMPERATURE,31.26
2024-10-26 09:50:00,SA-54/LIGHT_LEVEL,1
2024-10-26 09:50:10,SA-54/LIGHT_LEVEL,0
2024-10-26 09:50:24,SA-54/TEMPERATURE,30.79
2024-10-26 09:50:26,SA-54/TEMPERATURE,31.26
2024-10-26 09:50:30,SA-54/LIGHT_LEVEL,1
2024-10-26 09:50:36,SA-54/LIGHT_LEVEL,0
2024-10-26 09:50:38,SA-54/TEMPERATURE,30.79
2024-10-26 09:50:40,SA-54/TEMPERATURE,31.26
2024-10-26 09:50:48,SA-54/TEMPERATURE,30.79
2024-10-26 09:50:50,SA-54/TEMPERATURE,31.26
2024-10-26 09:50:56,SA-54/LIGHT_LEVEL,1
2024-10-26 09:51:02,SA-54/LIGHT_LEVEL,0
2024-10-26 09:51:04,SA-54/TEMPERATURE,30.79
2024-10-26 09:51:06,SA-54/TEMPERATURE,31.26
2024-10-26 09:51:16,SA-54/TEMPERATURE,30.79
2024-10-26 09:51:16,SA-54/LIGHT_LEVEL,1
2024-10-26 09:51:18,SA-54/LIGHT_LEVEL,0
2024-10-26 09:51:22,SA-54/TEMPERATURE,31.26
2024-10-26 09:51:28,SA-54/TEMPERATURE,30.79
2024-10-26 09:51:30,SA-54/TEMPERATURE,31.26
2024-10-26 09:51:52,SA-54/TEMPERATURE,30.79
2024-10-26 09:51:54,SA-54/TEMPERATURE,31.26
2024-10-26 09:51:58,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:00,SA-54/TEMPERATURE,31.26
2024-10-26 09:52:22,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:24,SA-54/TEMPERATURE,31.26
2024-10-26 09:52:26,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:28,SA-54/TEMPERATURE,31.26
2024-10-26 09:52:30,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:32,SA-54/TEMPERATURE,31.26
2024-10-26 09:52:38,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:56,SA-54/TEMPERATURE,31.26
2024-10-26 09:53:00,SA-54/TEMPERATURE,30.79
2024-10-26 09:53:02,SA-54/TEMPERATURE,31.26
2024-10-26 09:53:02,SA-54/LIGHT_LEVEL,1
2024-10-26 09:53:04,SA-54/TEMPERATURE,30.79
2024-10-26 09:53:04,SA-54/LIGHT_LEVEL,0
2024-10-26 09:53:06,SA-54/TEMPERATURE,31.26
2024-10-26 09:53:08,SA-54/TEMPERATURE,30.79
2024-10-26 09:53:10,SA-54/TEMPERATURE,31.26
2024-10-26 09:53:16,SA-54/TEMPERATURE,30.79
